circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
12 chr1:41142878|41151684	chr1	41142878	41151684	21	15_8_5	134	0.239	exon	ENSG00000010803.16,	-	E00500:175:HHYKLCCXY:5:1102:13636:52326,E00500:175:HHYKLCCXY:5:1111:11972:28910,E00500:175:HHYKLCCXY:5:1118:12875:31002,E00500:175:HHYKLCCXY:5:1123:23977:29173,E00500:175:HHYKLCCXY:5:1206:16254:13334,E00500:175:HHYKLCCXY:5:1210:9638:44275,E00500:175:HHYKLCCXY:5:1216:10094:63630,E00500:175:HHYKLCCXY:5:1217:5852:4632,E00500:175:HHYKLCCXY:5:1221:21105:66847,E00500:175:HHYKLCCXY:5:1221:22130:66970,E00500:175:HHYKLCCXY:5:2101:14204:72086,E00500:175:HHYKLCCXY:5:2108:2889:67287,E00500:175:HHYKLCCXY:5:2115:26362:23108,E00500:175:HHYKLCCXY:5:2115:28300:53539,E00500:175:HHYKLCCXY:5:2120:11698:29595,E00500:175:HHYKLCCXY:5:2213:5518:29859,E00500:175:HHYKLCCXY:5:1103:16417:10415,E00500:175:HHYKLCCXY:5:1105:5396:39563,E00500:175:HHYKLCCXY:5:1217:27549:23759,E00500:175:HHYKLCCXY:5:2203:13433:44310,E00500:175:HHYKLCCXY:5:2203:13656:44380,
13 chr1:44308310|44313228	chr1	44308310	44313228	5	2_1_4	268	0.036	exon	ENSG00000117419.14,	-	E00500:175:HHYKLCCXY:5:2103:21592:61362,E00500:175:HHYKLCCXY:5:2208:8592:28716,E00500:175:HHYKLCCXY:5:2119:8298:24198,E00500:175:HHYKLCCXY:5:2119:20689:60712,E00500:175:HHYKLCCXY:5:2204:18274:40389,
14 chr1:46055795|46080750	chr1	46055795	46080750	3	2_1_1	3	0.667	exon	ENSG00000278139.1,ENSG00000117461.14,	-	E00500:175:HHYKLCCXY:5:1122:27945:5106,E00500:175:HHYKLCCXY:5:1212:12459:67445,E00500:175:HHYKLCCXY:5:2220:31243:71014,
15 chr1:50655442|50744775	chr1	50655442	50744775	10	3_2_4	33	0.377	exon	ENSG00000185104.19,	-	E00500:175:HHYKLCCXY:5:1116:22972:42060,E00500:175:HHYKLCCXY:5:1118:26159:21421,E00500:175:HHYKLCCXY:5:1119:4330:27521,E00500:175:HHYKLCCXY:5:1124:24282:14793,E00500:175:HHYKLCCXY:5:1202:27610:7761,E00500:175:HHYKLCCXY:5:1202:27641:8306,E00500:175:HHYKLCCXY:5:1212:9719:70961,E00500:175:HHYKLCCXY:5:2101:11901:42780,E00500:175:HHYKLCCXY:5:2107:28676:3876,E00500:175:HHYKLCCXY:5:1222:27915:18485,
16 chr1:52866503|52867777	chr1	52866503	52867777	5	1_2_3	25	0.286	exon	ENSG00000203995.9,	+	E00500:175:HHYKLCCXY:5:1103:28442:9765,E00500:175:HHYKLCCXY:5:1120:19086:64650,E00500:175:HHYKLCCXY:5:1206:4411:7480,E00500:175:HHYKLCCXY:5:2120:29518:63911,E00500:175:HHYKLCCXY:5:2123:20943:60976,
17 chr1:59346247|59378837	chr1	59346247	59378837	12	7_4_3	75	0.242	exon	ENSG00000172456.17,	+	E00500:175:HHYKLCCXY:5:1110:2118:19645,E00500:175:HHYKLCCXY:5:1111:11485:13896,E00500:175:HHYKLCCXY:5:1220:31517:47580,E00500:175:HHYKLCCXY:5:2108:22019:27995,E00500:175:HHYKLCCXY:5:2108:22414:28435,E00500:175:HHYKLCCXY:5:2112:22830:33305,E00500:175:HHYKLCCXY:5:2112:24251:34289,E00500:175:HHYKLCCXY:5:2112:23328:34518,E00500:175:HHYKLCCXY:5:2117:29305:62101,E00500:175:HHYKLCCXY:5:2124:27915:43835,E00500:175:HHYKLCCXY:5:2207:26869:59640,E00500:175:HHYKLCCXY:5:2215:13504:63595,
18 chr1:70228422|70232377	chr1	70228422	70232377	4	3_4_1	16	0.333	exon	ENSG00000116754.13,	+	E00500:175:HHYKLCCXY:5:1103:17746:10925,E00500:175:HHYKLCCXY:5:1108:22201:4438,E00500:175:HHYKLCCXY:5:1217:24089:66496,E00500:175:HHYKLCCXY:5:2103:20679:50920,
19 chr1:77873001|77875111	chr1	77873001	77875111	6	4_4_0	1	0.923	exon	ENSG00000180488.14,	+	E00500:175:HHYKLCCXY:5:1109:3376:18731,E00500:175:HHYKLCCXY:5:1124:25631:19241,E00500:175:HHYKLCCXY:5:2120:25885:62189,E00500:175:HHYKLCCXY:5:2120:24738:62628,E00500:175:HHYKLCCXY:5:2216:21156:20032,E00500:175:HHYKLCCXY:5:2224:2666:49179,
20 chr1:88853107|88853346	chr1	88853107	88853346	3	3_3_0	0	1	exon	ENSG00000137947.11,	-	E00500:175:HHYKLCCXY:5:1120:21288:9536,E00500:175:HHYKLCCXY:5:1209:2027:21210,E00500:175:HHYKLCCXY:5:1215:16681:13931,
21 chr1:94487542|94506642	chr1	94487542	94506642	8	2_2_2	9	0.640	exon	ENSG00000117528.11,	+	E00500:175:HHYKLCCXY:5:1105:27204:4491,E00500:175:HHYKLCCXY:5:1112:31071:62909,E00500:175:HHYKLCCXY:5:1217:18680:43483,E00500:175:HHYKLCCXY:5:2115:27762:10802,E00500:175:HHYKLCCXY:5:2207:6208:34465,E00500:175:HHYKLCCXY:5:2207:8755:35467,E00500:175:HHYKLCCXY:5:2213:2940:50744,E00500:175:HHYKLCCXY:5:2218:10125:61011,
22 chr1:108628167|108629657	chr1	108628167	108629657	2	1_1_2	2	0.667	exon	ENSG00000162636.15,	+	E00500:175:HHYKLCCXY:5:1201:3133:16410,E00500:175:HHYKLCCXY:5:2223:12439:61960,
23 chr1:114736758|114749904	chr1	114736758	114749904	2	2_1_1	23	0.148	exon	ENSG00000009307.15,	-	E00500:175:HHYKLCCXY:5:1206:15189:14793,E00500:175:HHYKLCCXY:5:2113:10967:60782,
24 chr1:147650143|147659775	chr1	147650143	147659775	2	1_1_1	9	0.308	exon	ENSG00000162836.11,	-	E00500:175:HHYKLCCXY:5:1119:4269:69221,E00500:175:HHYKLCCXY:5:2213:11789:50392,
25 chr1:151265166|151266587	chr1	151265166	151266587	3	0_1_2	10	0.375	exon	ENSG00000159352.15,	+	E00500:175:HHYKLCCXY:5:2222:23825:45892,E00500:175:HHYKLCCXY:5:2222:24028:46033,E00500:175:HHYKLCCXY:5:1108:10592:72121,
26 chr1:155415744|155415923	chr1	155415744	155415923	13	8_8_0	21	0.553	exon	ENSG00000116539.12,	-	E00500:175:HHYKLCCXY:5:1115:13656:59745,E00500:175:HHYKLCCXY:5:1117:7649:38157,E00500:175:HHYKLCCXY:5:1121:8724:27363,E00500:175:HHYKLCCXY:5:1124:27610:51641,E00500:175:HHYKLCCXY:5:2103:10521:55790,E00500:175:HHYKLCCXY:5:2114:29305:39036,E00500:175:HHYKLCCXY:5:1214:7984:38104,E00500:175:HHYKLCCXY:5:2111:10724:3717,E00500:175:HHYKLCCXY:5:2115:20638:54928,E00500:175:HHYKLCCXY:5:2122:26321:32390,E00500:175:HHYKLCCXY:5:2211:2706:25833,E00500:175:HHYKLCCXY:5:2211:7090:47984,E00500:175:HHYKLCCXY:5:2211:7364:48213,
27 chr1:156317166|156334918	chr1	156317166	156334918	3	1_2_3	213	0.027	exon	ENSG00000163468.14,	-	E00500:175:HHYKLCCXY:5:1204:18781:12613,E00500:175:HHYKLCCXY:5:1217:11596:31142,E00500:175:HHYKLCCXY:5:2109:19157:50217,
28 chr1:165890204|165903279	chr1	165890204	165903279	4	4_3_1	31	0.205	exon	ENSG00000143179.14,	+	E00500:175:HHYKLCCXY:5:1106:29599:67568,E00500:175:HHYKLCCXY:5:1115:18406:24479,E00500:175:HHYKLCCXY:5:2113:21481:6706,E00500:175:HHYKLCCXY:5:2217:2331:9853,
29 chr1:172142136|172144437	chr1	172142136	172144437	4	1_2_1	98	0.075	exon	ENSG00000230630.4,	-	E00500:175:HHYKLCCXY:5:1209:8542:60589,E00500:175:HHYKLCCXY:5:1209:8389:60958,E00500:175:HHYKLCCXY:5:1211:24566:48652,E00500:175:HHYKLCCXY:5:1221:24444:46367,
30 chr1:176081152|176144100	chr1	176081152	176144100	3	3_2_1	37	0.140	intron	ENSG00000143207.19,	-	E00500:175:HHYKLCCXY:5:1102:12154:68711,E00500:175:HHYKLCCXY:5:1117:27570:51148,E00500:175:HHYKLCCXY:5:1207:24129:37067,
31 chr1:180062220|180065272	chr1	180062220	180065272	3	2_2_0	8	0.429	exon	ENSG00000135837.15,	+	E00500:175:HHYKLCCXY:5:1208:29082:3665,E00500:175:HHYKLCCXY:5:2116:24150:43220,E00500:175:HHYKLCCXY:5:2116:24332:43290,
32 chr1:187269396|187329060	chr1	187269396	187329060	4	2_1_3	8	0.500	intron	ENSG00000236030.1,	+	E00500:175:HHYKLCCXY:5:1114:16254:49654,E00500:175:HHYKLCCXY:5:1218:19370:5475,E00500:175:HHYKLCCXY:5:1218:19106:6214,E00500:175:HHYKLCCXY:5:2118:13119:20489,
33 chr1:201852104|201858994	chr1	201852104	201858994	6	4_4_0	19	0.387	exon	ENSG00000198700.9,	+	E00500:175:HHYKLCCXY:5:2104:24261:64685,E00500:175:HHYKLCCXY:5:2104:24819:65054,E00500:175:HHYKLCCXY:5:2113:14194:53856,E00500:175:HHYKLCCXY:5:2118:26981:37541,E00500:175:HHYKLCCXY:5:2205:3001:60554,E00500:175:HHYKLCCXY:5:2209:12256:44943,
34 chr1:208210280|208218002	chr1	208210280	208218002	28	14_18_0	7	0.889	exon	ENSG00000076356.6,	-	E00500:175:HHYKLCCXY:5:1106:22039:55737,E00500:175:HHYKLCCXY:5:1107:11870:58303,E00500:175:HHYKLCCXY:5:1112:11698:11347,E00500:175:HHYKLCCXY:5:1122:8775:63032,E00500:175:HHYKLCCXY:5:1123:5700:61995,E00500:175:HHYKLCCXY:5:1124:2788:41163,E00500:175:HHYKLCCXY:5:1201:18913:44591,E00500:175:HHYKLCCXY:5:1205:29224:53944,E00500:175:HHYKLCCXY:5:1209:27072:57213,E00500:175:HHYKLCCXY:5:1213:19766:41989,E00500:175:HHYKLCCXY:5:1222:23206:13879,E00500:175:HHYKLCCXY:5:2111:11099:15373,E00500:175:HHYKLCCXY:5:2113:21673:63718,E00500:175:HHYKLCCXY:5:2117:19735:22493,E00500:175:HHYKLCCXY:5:2119:15371:48757,E00500:175:HHYKLCCXY:5:2209:20131:46630,E00500:175:HHYKLCCXY:5:2212:22587:64703,E00500:175:HHYKLCCXY:5:2212:22871:66777,E00500:175:HHYKLCCXY:5:2218:14184:60132,E00500:175:HHYKLCCXY:5:2219:30594:46120,E00500:175:HHYKLCCXY:5:1115:21765:4807,E00500:175:HHYKLCCXY:5:1203:3305:10240,E00500:175:HHYKLCCXY:5:1209:23865:70117,E00500:175:HHYKLCCXY:5:2107:24698:48986,E00500:175:HHYKLCCXY:5:2203:29741:40389,E00500:175:HHYKLCCXY:5:2205:15788:11189,E00500:175:HHYKLCCXY:5:2205:16599:11365,E00500:175:HHYKLCCXY:5:2207:10125:9501,
35 chr1:213167844|213176492	chr1	213167844	213176492	6	3_1_3	18	0.400	intron	ENSG00000136643.11,	+	E00500:175:HHYKLCCXY:5:1120:17584:54489,E00500:175:HHYKLCCXY:5:2114:8724:40196,E00500:175:HHYKLCCXY:5:2208:11972:45400,E00500:175:HHYKLCCXY:5:1214:6228:61116,E00500:175:HHYKLCCXY:5:2117:12469:27908,E00500:175:HHYKLCCXY:5:2211:16792:29736,
36 chr1:224275339|224281185	chr1	224275339	224281185	3	0_2_2	8	0.429	exon	ENSG00000143748.17,	-	E00500:175:HHYKLCCXY:5:1115:31903:66039,E00500:175:HHYKLCCXY:5:1218:21146:22335,E00500:175:HHYKLCCXY:5:2118:11891:21596,
37 chr1:227193786|227213219	chr1	227193786	227213219	27	16_8_8	19	0.740	exon	ENSG00000143776.18,	-	E00500:175:HHYKLCCXY:5:1106:29183:5282,E00500:175:HHYKLCCXY:5:1109:29538:62575,E00500:175:HHYKLCCXY:5:1111:20182:39510,E00500:175:HHYKLCCXY:5:1112:2422:19997,E00500:175:HHYKLCCXY:5:1112:15371:22423,E00500:175:HHYKLCCXY:5:1113:12875:39651,E00500:175:HHYKLCCXY:5:1117:17553:9079,E00500:175:HHYKLCCXY:5:1122:3843:53891,E00500:175:HHYKLCCXY:5:1209:8542:22475,E00500:175:HHYKLCCXY:5:1209:2077:72350,E00500:175:HHYKLCCXY:5:1214:15026:40495,E00500:175:HHYKLCCXY:5:1214:14854:40512,E00500:175:HHYKLCCXY:5:1219:5923:31125,E00500:175:HHYKLCCXY:5:1221:26372:41866,E00500:175:HHYKLCCXY:5:1221:26646:44134,E00500:175:HHYKLCCXY:5:1224:16264:50305,E00500:175:HHYKLCCXY:5:2101:21846:37366,E00500:175:HHYKLCCXY:5:2105:16133:35625,E00500:175:HHYKLCCXY:5:2107:17858:18256,E00500:175:HHYKLCCXY:5:2109:27143:23231,E00500:175:HHYKLCCXY:5:2113:7679:46824,E00500:175:HHYKLCCXY:5:2206:5183:64509,E00500:175:HHYKLCCXY:5:2209:29782:71928,E00500:175:HHYKLCCXY:5:2213:11647:61538,E00500:175:HHYKLCCXY:5:2214:9465:62786,E00500:175:HHYKLCCXY:5:2218:15270:67357,E00500:175:HHYKLCCXY:5:2221:29548:31195,
38 chr1:232415494|232432471	chr1	232415494	232432471	7	7_7_0	3	0.824	exon	ENSG00000116991.10,	-	E00500:175:HHYKLCCXY:5:1115:12002:65845,E00500:175:HHYKLCCXY:5:1116:29447:26941,E00500:175:HHYKLCCXY:5:1219:15869:63788,E00500:175:HHYKLCCXY:5:1223:8785:31617,E00500:175:HHYKLCCXY:5:2103:20608:39194,E00500:175:HHYKLCCXY:5:2111:6583:71436,E00500:175:HHYKLCCXY:5:2115:8288:40003,
39 chr1:237530427|237550691	chr1	237530427	237550691	3	1_2_1	3	0.667	exon	ENSG00000198626.15,	+	E00500:175:HHYKLCCXY:5:1218:31730:65845,E00500:175:HHYKLCCXY:5:2107:31923:59675,E00500:175:HHYKLCCXY:5:2213:4553:18661,
40 chr1:245002121|245017326	chr1	245002121	245017326	16	6_6_6	14	0.696	exon	ENSG00000203666.12,	+	E00500:175:HHYKLCCXY:5:1106:22780:20278,E00500:175:HHYKLCCXY:5:1106:17036:33428,E00500:175:HHYKLCCXY:5:1116:16559:6337,E00500:175:HHYKLCCXY:5:1124:12469:63032,E00500:175:HHYKLCCXY:5:1212:20933:68869,E00500:175:HHYKLCCXY:5:2106:12175:55948,E00500:175:HHYKLCCXY:5:2120:10845:44046,E00500:175:HHYKLCCXY:5:2201:18994:45400,E00500:175:HHYKLCCXY:5:2203:19979:28540,E00500:175:HHYKLCCXY:5:2213:20019:37366,E00500:175:HHYKLCCXY:5:2109:27488:61767,E00500:175:HHYKLCCXY:5:2123:20872:58567,E00500:175:HHYKLCCXY:5:2123:20243:59235,E00500:175:HHYKLCCXY:5:2123:20334:59288,E00500:175:HHYKLCCXY:5:2220:8684:9958,E00500:175:HHYKLCCXY:5:2220:8724:10310,
41 chr10:179994|210048	chr10	179994	210048	59	38_37_0	104	0.532	exon	ENSG00000015171.19,	+	E00500:175:HHYKLCCXY:5:1102:29417:19856,E00500:175:HHYKLCCXY:5:1102:8298:21913,E00500:175:HHYKLCCXY:5:1106:26910:8693,E00500:175:HHYKLCCXY:5:1108:6045:32004,E00500:175:HHYKLCCXY:5:1108:7253:32795,E00500:175:HHYKLCCXY:5:1108:30736:62892,E00500:175:HHYKLCCXY:5:1110:14915:34676,E00500:175:HHYKLCCXY:5:1111:15382:58444,E00500:175:HHYKLCCXY:5:1112:3346:29472,E00500:175:HHYKLCCXY:5:1114:31324:61802,E00500:175:HHYKLCCXY:5:1114:22242:61995,E00500:175:HHYKLCCXY:5:1121:13545:46683,E00500:175:HHYKLCCXY:5:1122:18345:34148,E00500:175:HHYKLCCXY:5:1123:15544:12525,E00500:175:HHYKLCCXY:5:1123:6238:55051,E00500:175:HHYKLCCXY:5:1203:3468:24690,E00500:175:HHYKLCCXY:5:1206:15798:15250,E00500:175:HHYKLCCXY:5:1207:29548:26448,E00500:175:HHYKLCCXY:5:1207:9039:31494,E00500:175:HHYKLCCXY:5:1212:26626:53592,E00500:175:HHYKLCCXY:5:1212:21785:57688,E00500:175:HHYKLCCXY:5:1213:2392:58057,E00500:175:HHYKLCCXY:5:1217:24840:11822,E00500:175:HHYKLCCXY:5:1217:6888:20278,E00500:175:HHYKLCCXY:5:1218:17665:18871,E00500:175:HHYKLCCXY:5:1219:27793:45874,E00500:175:HHYKLCCXY:5:1224:16802:48248,E00500:175:HHYKLCCXY:5:2107:24860:23108,E00500:175:HHYKLCCXY:5:2107:29264:36610,E00500:175:HHYKLCCXY:5:2108:12469:60853,E00500:175:HHYKLCCXY:5:2110:18456:4526,E00500:175:HHYKLCCXY:5:2112:12976:71084,E00500:175:HHYKLCCXY:5:2118:23226:13738,E00500:175:HHYKLCCXY:5:2120:17066:16076,E00500:175:HHYKLCCXY:5:2120:17005:16463,E00500:175:HHYKLCCXY:5:2122:25966:3964,E00500:175:HHYKLCCXY:5:2122:27722:42235,E00500:175:HHYKLCCXY:5:2123:15321:5950,E00500:175:HHYKLCCXY:5:2203:20669:49883,E00500:175:HHYKLCCXY:5:2203:18923:60395,E00500:175:HHYKLCCXY:5:2204:10318:6144,E00500:175:HHYKLCCXY:5:2206:15544:8271,E00500:175:HHYKLCCXY:5:2208:3183:19241,E00500:175:HHYKLCCXY:5:2209:26585:38930,E00500:175:HHYKLCCXY:5:2210:10500:25095,E00500:175:HHYKLCCXY:5:2210:10054:25552,E00500:175:HHYKLCCXY:5:2210:11241:26273,E00500:175:HHYKLCCXY:5:2213:29894:4825,E00500:175:HHYKLCCXY:5:2213:11282:27574,E00500:175:HHYKLCCXY:5:2215:9536:16885,E00500:175:HHYKLCCXY:5:2218:18365:17272,E00500:175:HHYKLCCXY:5:2218:17908:17465,E00500:175:HHYKLCCXY:5:2219:31294:7286,E00500:175:HHYKLCCXY:5:2220:15026:42218,E00500:175:HHYKLCCXY:5:2220:15199:42341,E00500:175:HHYKLCCXY:5:1121:29224:54436,E00500:175:HHYKLCCXY:5:1121:28929:55086,E00500:175:HHYKLCCXY:5:1214:17624:55438,E00500:175:HHYKLCCXY:5:2116:2422:24216,
